p	N	T	S
2	1000000	0.0040000002	5250.8691406250
2	2200000	0.0070000002	5255.5249023438
2	4700000	0.0160000008	5241.0307617188
2	10000000	0.0320000015	5282.9667968750
2	22000000	0.0700000003	5211.0249023438
2	47000000	0.1449999958	5818.5107421875
2	100000000	0.3079999983	4879.0800781250
2	220000000	0.6809999943	2868.4509277344
2	470000000	1.4440000057	1622.3288574219
2	1000000000	3.0810000896	1030.7921142578
2	2200000000	6.7760000229	468.5419006348
2	4700000000	15.8800001144	219.3174743652
2	10000000000	51.1290016174	103.0792160034
3	1	0.0010000000	2550.0000000000
3	2	0.0010000000	4575.0000000000
3	4	0.0010000000	5081.2500000000
3	7	0.0010000000	5194.8974609375
3	10	0.0010000000	5223.0000000000
3	22	0.0010000000	5244.4218750000
3	47	0.0010000000	5248.7773437500
3	100	0.0010000000	5249.7304687500
3	220	0.0010000000	5249.9448242188
3	470	0.0010000000	5249.9882812500
3	1000	0.0010000000	5249.9970703125
3	2200	0.0010000000	5250.0009765625
3	4700	0.0010000000	5249.9975585938
3	10000	0.0010000000	5250.0019531250
3	22000	0.0010000000	5249.9990234375
3	47000	0.0010000000	5249.9975585938
3	100000	0.0010000000	5250.0024414062
3	220000	0.0010000000	5249.9858398438
3	470000	0.0020000001	5249.9252929688
3	1000000	0.0030000000	5250.3076171875
3	2200000	0.0049999999	5248.9785156250
3	4700000	0.0099999998	5255.6821289062
3	10000000	0.0219999999	5236.6889648438
3	22000000	0.0480000004	5310.6069335938
3	47000000	0.1010000035	5353.1079101562
3	100000000	0.2080000043	5009.7783203125
3	220000000	0.4620000124	4039.8059082031
3	470000000	0.9639999866	2170.6225585938
3	1000000000	2.0620000362	1298.8342285156
3	2200000000	4.5469999313	702.8128662109
3	4700000000	10.6820001602	328.9761962891
3	10000000000	34.0709991455	154.6188201904
4	1	0.0010000000	2550.0000000000
4	2	0.0010000000	4575.0000000000
4	4	0.0020000001	5081.2500000000
4	7	0.0020000001	5194.8974609375
4	10	0.0010000000	5223.0000000000
4	22	0.0010000000	5244.4218750000
4	47	0.0010000000	5248.7768554688
4	100	0.0010000000	5249.7304687500
4	220	0.0010000000	5249.9448242188
4	470	0.0010000000	5249.9873046875
4	1000	0.0010000000	5249.9970703125
4	2200	0.0020000001	5250.0004882812
4	4700	0.0010000000	5249.9980468750
4	10000	0.0010000000	5250.0029296875
4	22000	0.0010000000	5250.0000000000
4	47000	0.0060000001	5249.9980468750
4	100000	0.0049999999	5250.0122070312
4	220000	0.0020000001	5250.0063476562
4	470000	0.0030000000	5249.9833984375
4	1000000	0.0020000001	5249.8491210938
4	2200000	0.0049999999	5248.7539062500
4	4700000	0.0080000004	5254.6625976562
4	10000000	0.0170000009	5241.0815429688
4	22000000	0.0359999985	5270.0205078125
4	47000000	0.0750000030	5222.6162109375
